message,label
Did you complete the assignment?,0
Call me when you're free.,0
See you at the meeting.,0
Looking forward to our trip!,0
Happy birthday! Have a great day!,0
Win a free iPhone now!,1
Let’s catch up over coffee.,0
"Limited-time discount, act fast!",1
Earn money from home!,1
Did you complete the assignment?,0
Call me when you're free.,0
"Limited-time discount, act fast!",1
Congratulations! You won $1000!,1
Get rich quick with this one simple trick!,1
Congratulations! You won $1000!,1
Exclusive offer just for you!,1
"Hey, how are you?",0
Call me when you're free.,0
"Limited-time discount, act fast!",1
Exclusive offer just for you!,1
Don't forget to bring your laptop.,0
Urgent! Your account has been compromised!,1
Congratulations! You won $1000!,1
Looking forward to our trip!,0
Call me when you're free.,0
Call me when you're free.,0
Get rich quick with this one simple trick!,1
"Hey, how are you?",0
Happy birthday! Have a great day!,0
Don't forget to bring your laptop.,0
"Limited-time discount, act fast!",1
Let's meet tomorrow.,0
Let's meet tomorrow.,0
"Limited-time discount, act fast!",1
Urgent! Your account has been compromised!,1
"Limited-time discount, act fast!",1
Earn money from home!,1
Earn money from home!,1
Win a free iPhone now!,1
Looking forward to our trip!,0
See you at the meeting.,0
Let’s catch up over coffee.,0
Let’s catch up over coffee.,0
Looking forward to our trip!,0
Looking forward to our trip!,0
Let’s catch up over coffee.,0
Happy birthday! Have a great day!,0
"Limited-time discount, act fast!",1
Let’s catch up over coffee.,0
Congratulations! You won $1000!,1
Buy now and get 50% off!,1
Call me when you're free.,0
You've been selected for a free vacation!,1
"Limited-time discount, act fast!",1
Buy now and get 50% off!,1
Don't forget to bring your laptop.,0
Happy birthday! Have a great day!,0
Click here to claim your prize!,1
Click here to claim your prize!,1
Congratulations! You won $1000!,1
"Limited-time discount, act fast!",1
"Hey, how are you?",0
Urgent! Your account has been compromised!,1
Happy birthday! Have a great day!,0
Don't forget to bring your laptop.,0
Don't forget to bring your laptop.,0
Did you complete the assignment?,0
Looking forward to our trip!,0
Don't forget to bring your laptop.,0
Get rich quick with this one simple trick!,1
Looking forward to our trip!,0
You've been selected for a free vacation!,1
"Hey, how are you?",0
Win a free iPhone now!,1
